frame,houdini_frame,point_id,x,y,z,u,purity,intensity
4,4,41,1.486885,0.765038,0.066252,0.836735,0.927159,0.694423
4,4,42,1.523151,0.783697,0.067868,0.857143,0.927159,0.688747
4,4,43,1.559416,0.802357,0.069484,0.877551,0.927159,0.683070
4,4,44,1.595682,0.821016,0.071100,0.897959,0.927159,0.677394
4,4,45,1.631947,0.839675,0.072716,0.918367,0.927159,0.671717
4,4,46,1.668213,0.858335,0.074331,0.938776,0.927159,0.666041
4,4,47,1.704478,0.876994,0.075947,0.959184,0.927159,0.660364
4,4,48,1.740744,0.895654,0.077563,0.979592,0.927159,0.654688
4,4,49,1.777009,0.914313,0.079179,1.000000,0.927159,0.649011
5,5,0,0.000000,0.000000,0.000000,0.000000,0.904077,0.904077
5,5,1,0.032848,0.024132,0.002154,0.020408,0.904077,0.898542
5,5,2,0.065696,0.048263,0.004308,0.040816,0.904077,0.893007
5,5,3,0.098544,0.072395,0.006462,0.061224,0.904077,0.887472
5,5,4,0.131393,0.096526,0.008616,0.081633,0.904077,0.881937
5,5,5,0.164241,0.120658,0.010770,0.102041,0.904077,0.876402
5,5,6,0.197089,0.144789,0.012925,0.122449,0.904077,0.870866
5,5,7,0.229937,0.168921,0.015079,0.142857,0.904077,0.865331
5,5,8,0.262785,0.193053,0.017233,0.163265,0.904077,0.859796
5,5,9,0.295633,0.217184,0.019387,0.183673,0.904077,0.854261
5,5,10,0.328481,0.241316,0.021541,0.204082,0.904077,0.848726
5,5,11,0.361329,0.265447,0.023695,0.224490,0.904077,0.843191
5,5,12,0.394178,0.289579,0.025849,0.244898,0.904077,0.837655
5,5,13,0.427026,0.313710,0.028003,0.265306,0.904077,0.832120
5,5,14,0.459874,0.337842,0.030157,0.285714,0.904077,0.826585
5,5,15,0.492722,0.361974,0.032311,0.306122,0.904077,0.821050
5,5,16,0.525570,0.386105,0.034466,0.326531,0.904077,0.815515
5,5,17,0.558418,0.410237,0.036620,0.346939,0.904077,0.809980
5,5,18,0.591266,0.434368,0.038774,0.367347,0.904077,0.804444
5,5,19,0.624114,0.458500,0.040928,0.387755,0.904077,0.798909
5,5,20,0.656963,0.482631,0.043082,0.408163,0.904077,0.793374
5,5,21,0.689811,0.506763,0.045236,0.428571,0.904077,0.787839
5,5,22,0.722659,0.530895,0.047390,0.448980,0.904077,0.782304
5,5,23,0.755507,0.555026,0.049544,0.469388,0.904077,0.776769
5,5,24,0.788355,0.579158,0.051698,0.489796,0.904077,0.771233
5,5,25,0.821203,0.603289,0.053852,0.510204,0.904077,0.765698
5,5,26,0.854051,0.627421,0.056006,0.530612,0.904077,0.760163
5,5,27,0.886899,0.651553,0.058161,0.551020,0.904077,0.754628
5,5,28,0.919748,0.675684,0.060315,0.571429,0.904077,0.749093
5,5,29,0.952596,0.699816,0.062469,0.591837,0.904077,0.743558
5,5,30,0.985444,0.723947,0.064623,0.612245,0.904077,0.738022
5,5,31,1.018292,0.748079,0.066777,0.632653,0.904077,0.732487
5,5,32,1.051140,0.772210,0.068931,0.653061,0.904077,0.726952
5,5,33,1.083988,0.796342,0.071085,0.673469,0.904077,0.721417
5,5,34,1.116836,0.820474,0.073239,0.693878,0.904077,0.715882
5,5,35,1.149684,0.844605,0.075393,0.714286,0.904077,0.710347
5,5,36,1.182533,0.868737,0.077547,0.734694,0.904077,0.704811
5,5,37,1.215381,0.892868,0.079702,0.755102,0.904077,0.699276
5,5,38,1.248229,0.917000,0.081856,0.775510,0.904077,0.693741
5,5,39,1.281077,0.941131,0.084010,0.795918,0.904077,0.688206
5,5,40,1.313925,0.965263,0.086164,0.816327,0.904077,0.682671
5,5,41,1.346773,0.989395,0.088318,0.836735,0.904077,0.677135
5,5,42,1.379621,1.013526,0.090472,0.857143,0.904077,0.671600
5,5,43,1.412470,1.037658,0.092626,0.877551,0.904077,0.666065
5,5,44,1.445318,1.061789,0.094780,0.897959,0.904077,0.660530
5,5,45,1.478166,1.085921,0.096934,0.918367,0.904077,0.654995
5,5,46,1.511014,1.110052,0.099088,0.938776,0.904077,0.649460
5,5,47,1.543862,1.134184,0.101243,0.959184,0.904077,0.643924
5,5,48,1.576710,1.158316,0.103397,0.979592,0.904077,0.638389
5,5,49,1.609558,1.182447,0.105551,1.000000,0.904077,0.632854
6,6,0,0.000000,0.000000,0.000000,0.000000,0.881570,0.881570
6,6,1,0.028608,0.028988,0.002692,0.020408,0.881570,0.876173
6,6,2,0.057216,0.057976,0.005384,0.040816,0.881570,0.870776
6,6,3,0.085824,0.086964,0.008076,0.061224,0.881570,0.865378
6,6,4,0.114432,0.115952,0.010768,0.081633,0.881570,0.859981
6,6,5,0.143040,0.144941,0.013460,0.102041,0.881570,0.854584
6,6,6,0.171648,0.173929,0.016151,0.122449,0.881570,0.849186
6,6,7,0.200256,0.202917,0.018843,0.142857,0.881570,0.843789
6,6,8,0.228864,0.231905,0.021535,0.163265,0.881570,0.838391
6,6,9,0.257472,0.260893,0.024227,0.183673,0.881570,0.832994
6,6,10,0.286080,0.289881,0.026919,0.204082,0.881570,0.827597
6,6,11,0.314688,0.318869,0.029611,0.224490,0.881570,0.822199
6,6,12,0.343296,0.347857,0.032303,0.244898,0.881570,0.816802
6,6,13,0.371904,0.376845,0.034995,0.265306,0.881570,0.811405
6,6,14,0.400512,0.405833,0.037687,0.285714,0.881570,0.806007
6,6,15,0.429120,0.434822,0.040379,0.306122,0.881570,0.800610
6,6,16,0.457727,0.463810,0.043071,0.326531,0.881570,0.795212
6,6,17,0.486335,0.492798,0.045763,0.346939,0.881570,0.789815
6,6,18,0.514943,0.521786,0.048454,0.367347,0.881570,0.784418
6,6,19,0.543551,0.550774,0.051146,0.387755,0.881570,0.779020
6,6,20,0.572159,0.579762,0.053838,0.408163,0.881570,0.773623
6,6,21,0.600767,0.608750,0.056530,0.428571,0.881570,0.768226
6,6,22,0.629375,0.637738,0.059222,0.448980,0.881570,0.762828
6,6,23,0.657983,0.666726,0.061914,0.469388,0.881570,0.757431
6,6,24,0.686591,0.695715,0.064606,0.489796,0.881570,0.752034
6,6,25,0.715199,0.724703,0.067298,0.510204,0.881570,0.746636
6,6,26,0.743807,0.753691,0.069990,0.530612,0.881570,0.741239
6,6,27,0.772415,0.782679,0.072682,0.551020,0.881570,0.735841
6,6,28,0.801023,0.811667,0.075374,0.571429,0.881570,0.730444
6,6,29,0.829631,0.840655,0.078066,0.591837,0.881570,0.725047
6,6,30,0.858239,0.869643,0.080757,0.612245,0.881570,0.719649
6,6,31,0.886847,0.898631,0.083449,0.632653,0.881570,0.714252
6,6,32,0.915455,0.927619,0.086141,0.653061,0.881570,0.708855
6,6,33,0.944063,0.956608,0.088833,0.673469,0.881570,0.703457
6,6,34,0.972671,0.985596,0.091525,0.693878,0.881570,0.698060
6,6,35,1.001279,1.014584,0.094217,0.714286,0.881570,0.692662
6,6,36,1.029887,1.043572,0.096909,0.734694,0.881570,0.687265
6,6,37,1.058495,1.072560,0.099601,0.755102,0.881570,0.681868
6,6,38,1.087103,1.101548,0.102293,0.775510,0.881570,0.676470
6,6,39,1.115711,1.130536,0.104985,0.795918,0.881570,0.671073
6,6,40,1.144319,1.159524,0.107677,0.816327,0.881570,0.665676
6,6,41,1.172927,1.188512,0.110369,0.836735,0.881570,0.660278
6,6,42,1.201535,1.217500,0.113060,0.857143,0.881570,0.654881
6,6,43,1.230143,1.246489,0.115752,0.877551,0.881570,0.649483
6,6,44,1.258751,1.275477,0.118444,0.897959,0.881570,0.644086
6,6,45,1.287359,1.304465,0.121136,0.918367,0.881570,0.638689
6,6,46,1.315967,1.333453,0.123828,0.938776,0.881570,0.633291
6,6,47,1.344574,1.362441,0.126520,0.959184,0.881570,0.627894
6,6,48,1.373182,1.391429,0.129212,0.979592,0.881570,0.622497
6,6,49,1.401790,1.420417,0.131904,1.000000,0.881570,0.617099
7,7,0,0.000000,0.000000,0.000000,0.000000,0.859624,0.859624
7,7,1,0.023655,0.033106,0.003229,0.020408,0.859624,0.854361
7,7,2,0.047309,0.066212,0.006459,0.040816,0.859624,0.849098
