frame,houdini_frame,point_id,x,y,z,u,purity,intensity,width
5,5,52,1.731831,0.275462,0.178986,0.881356,0.935246,0.601924,0.036459
5,5,53,1.765135,0.280759,0.182428,0.898305,0.935246,0.596845,0.033922
5,5,54,1.798440,0.286057,0.185870,0.915254,0.935246,0.591808,0.031386
5,5,55,1.831744,0.291354,0.189312,0.932203,0.935246,0.586814,0.028850
5,5,56,1.865049,0.296651,0.192754,0.949153,0.935246,0.581862,0.026314
5,5,57,1.898353,0.301949,0.196196,0.966102,0.935246,0.576952,0.023777
5,5,58,1.931657,0.307246,0.199638,0.983051,0.935246,0.572083,0.021241
5,5,59,1.964962,0.312543,0.203080,1.000000,0.935246,0.567255,0.018705
6,6,0,0.000000,0.000000,0.000000,0.000000,0.919724,0.919724,0.165550
6,6,1,0.032978,0.006588,0.004263,0.016949,0.919724,0.911962,0.163056
6,6,2,0.065955,0.013176,0.008526,0.033898,0.919724,0.904267,0.160562
6,6,3,0.098933,0.019763,0.012790,0.050847,0.919724,0.896636,0.158068
6,6,4,0.131910,0.026351,0.017053,0.067797,0.919724,0.889069,0.155574
6,6,5,0.164888,0.032939,0.021316,0.084746,0.919724,0.881566,0.153079
6,6,6,0.197866,0.039527,0.025579,0.101695,0.919724,0.874127,0.150585
6,6,7,0.230843,0.046115,0.029842,0.118644,0.919724,0.866751,0.148091
6,6,8,0.263821,0.052703,0.034105,0.135593,0.919724,0.859436,0.145597
6,6,9,0.296798,0.059290,0.038369,0.152542,0.919724,0.852184,0.143103
6,6,10,0.329776,0.065878,0.042632,0.169492,0.919724,0.844992,0.140609
6,6,11,0.362753,0.072466,0.046895,0.186441,0.919724,0.837862,0.138114
6,6,12,0.395731,0.079054,0.051158,0.203390,0.919724,0.830791,0.135620
6,6,13,0.428709,0.085642,0.055421,0.220339,0.919724,0.823780,0.133126
6,6,14,0.461686,0.092229,0.059685,0.237288,0.919724,0.816829,0.130632
6,6,15,0.494664,0.098817,0.063948,0.254237,0.919724,0.809936,0.128138
6,6,16,0.527641,0.105405,0.068211,0.271186,0.919724,0.803101,0.125644
6,6,17,0.560619,0.111993,0.072474,0.288136,0.919724,0.796323,0.123149
6,6,18,0.593597,0.118581,0.076737,0.305085,0.919724,0.789603,0.120655
6,6,19,0.626574,0.125169,0.081000,0.322034,0.919724,0.782940,0.118161
6,6,20,0.659552,0.131756,0.085264,0.338983,0.919724,0.776333,0.115667
6,6,21,0.692529,0.138344,0.089527,0.355932,0.919724,0.769782,0.113173
6,6,22,0.725507,0.144932,0.093790,0.372881,0.919724,0.763286,0.110679
6,6,23,0.758484,0.151520,0.098053,0.389831,0.919724,0.756845,0.108184
6,6,24,0.791462,0.158108,0.102316,0.406780,0.919724,0.750458,0.105690
6,6,25,0.824440,0.164695,0.106580,0.423729,0.919724,0.744125,0.103196
6,6,26,0.857417,0.171283,0.110843,0.440678,0.919724,0.737845,0.100702
6,6,27,0.890395,0.177871,0.115106,0.457627,0.919724,0.731619,0.098208
6,6,28,0.923372,0.184459,0.119369,0.474576,0.919724,0.725445,0.095714
6,6,29,0.956350,0.191047,0.123632,0.491525,0.919724,0.719323,0.093219
6,6,30,0.989328,0.197635,0.127895,0.508475,0.919724,0.713253,0.090725
6,6,31,1.022305,0.204222,0.132159,0.525424,0.919724,0.707234,0.088231
6,6,32,1.055283,0.210810,0.136422,0.542373,0.919724,0.701266,0.085737
6,6,33,1.088260,0.217398,0.140685,0.559322,0.919724,0.695348,0.083243
6,6,34,1.121238,0.223986,0.144948,0.576271,0.919724,0.689480,0.080749
6,6,35,1.154215,0.230574,0.149211,0.593220,0.919724,0.683662,0.078254
